Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
My Nonfiction,My Nonfiction,"白銀御行(CV:古川慎),藤原千花(CV:小原好美)",pop,155931,0.724,0.923,-3.42,0.225,0.568,0,0.797,155.091,,-0.105662057,-2.207810906,-1.852756045
Daddy! Daddy! Do! (Kaguya-Sama: Love Is War),Daddy! Daddy! Do! (Kaguya-Sama: Love Is War),Miura Jam,pop,273237,0.607,0.767,-7.907,0.033,0.0525,0,0.689,138.962,,-0.661482678,-0.274549906,1.111284021
Love Dramatic,Love Dramatic,Miura Jam,pop,302560,0.566,0.903,-1.471,0.0579,0.142,0,0.724,128.965,,0.655591244,-0.592486936,1.505282264
Giri Giri (Kaguya-sama: Love is War),Giri Giri (Kaguya-sama: Love is War),Miura Jam,pop,87558,0.737,0.819,-3.543,0.053,0.0517,0,0.967,129.001,,-0.086791413,-3.353423782,-0.23095062
渋谷で5時,野宮真貴 渋谷系ソングブック,"Maki Nomiya,Clémentine,Masayuki Suzuki",pop,261986,0.712,0.81,-5.309,0.0313,0.0548,0.000423,0.934,123.912,,-0.5106773,-1.552805777,1.592388694
Sign,MICROCOSM,FLOW,pop,236426,0.363,0.914,-2.899,0.0983,0.00183,0,0.678,177.968,,1.623320195,-0.084332535,0.131076358
Slow Motion,Mika's Laundry,"Matt Champion,JENNIE",pop,165653,0.396,0.483,-10.487,0.221,0.781,5.94E-05,0.0709,157.625,,-2.33753512,1.692618661,-3.311474546
Effortless,Effortless,A.C.E,pop,182241,0.837,0.767,-4.557,0.0948,0.0968,0,0.659,125.014,,-0.26996855,-2.032539211,-0.003757936
Hands Up,Hands Up,NCT WISH,pop,194653,0.736,0.806,-2.868,0.0483,0.0859,0,0.682,100.018,,-0.183458719,-1.756373301,1.054157465
The Feels,Formula of Love: O+T=<3,TWICE,pop,198053,0.808,0.903,-2.179,0.0729,0.0899,0,0.922,120.044,,0.265551665,-2.667178016,0.834955062
Ko Ko Bop,THE WAR - The 4th Album,EXO,pop,190422,0.749,0.85,-4.346,0.0468,0.0319,4.81E-05,0.672,145.983,,0.214248354,-1.679907109,0.44842856
BOOMBOOM,Seventeen 3rd Mini Album ’Going Seventeen’,SEVENTEEN,pop,206227,0.853,0.814,-3.047,0.0766,0.0347,0,0.686,108.111,,0.015595374,-2.141381429,0.805120951
Lotto,LOTTO - The 3rd Album Repackage,EXO,pop,189774,0.798,0.867,-3.207,0.0386,0.0618,0,0.702,99.996,,-0.146110949,-2.078096798,1.198907952
Magic Shop,Love Yourself 轉 'Tear',BTS,pop,275695,0.531,0.661,-5.836,0.0907,0.103,0,0.278,149.934,,-0.045367723,0.873178502,0.031183379
Savage (feat. Kerser),Gothic Summer,"The Veronicas,Kerser",rap,193098,0.601,0.877,-6.28,0.0952,0.184,0,0.446,142.122,,0.064165202,-0.450439098,-0.397062528
