ts,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name
2022-04-05T06:17:16Z,Lately,Forrest.,Lately
2022-04-05T06:19:54Z,Sunday Best,Surfaces,Where the Light Is
2022-04-05T06:23:30Z,Shake It Off,Taylor Swift,1989
2022-04-05T16:41:07Z,parking lot view,almost monday,parking lot view
2022-04-05T16:41:15Z,Starlight,Kuwada,Starlight
2022-04-05T16:41:19Z,Cheerios & Chocolate Milk,Theo Kandel,Cheerios & Chocolate Milk
2022-04-05T16:43:58Z,Sunday Best,Surfaces,Where the Light Is
2022-04-05T16:46:57Z,Your Soul,Forrest.,Warm
2022-04-05T16:49:41Z,Butter,BTS,"Butter (Hotter, Sweeter, Cooler)"
2022-04-05T16:53:34Z,Dancing in the Moonlight,Toploader,Onka's Big Moka
2022-04-05T16:57:03Z,Daydreamin,Jonathan Tilkin,Daydreamin
2022-04-05T17:00:07Z,Cherry Cola,Kuwada,Cherry Cola
2022-04-05T17:03:05Z,Love Me Less (feat. Quinn XCII),MAX,Love Me Less (feat. Quinn XCII)
2022-04-05T17:06:20Z,Why Not Me,Forrest.,Warm
2022-04-05T17:10:05Z,MUFFIN,BadBoyHalo,MUFFIN
2022-04-05T17:11:59Z,Through and Through,khai dreams,Through and Through
2022-04-05T17:14:51Z,Blueberry Eyes (feat. SUGA of BTS),MAX,Blueberry Eyes (feat. SUGA of BTS)
2022-04-05T17:18:56Z,Dance in the Living Room,NVTHVN,Dance in the Living Room
2022-04-05T17:22:32Z,Still into You,Paramore,Paramore
2022-04-05T17:25:23Z,Sunny Side Up,Surfaces,Horizons
2022-04-06T00:04:47Z,Baby I'm A Fool,Melody Gardot,My One And Only Thrill
2022-04-06T00:09:08Z,The Family Madrigal,Stephanie Beatriz,Encanto
2022-04-06T00:11:50Z,Waiting On A Miracle,Stephanie Beatriz,Encanto
2022-04-06T00:15:12Z,Surface Pressure,Jessica Darrow,Encanto
2022-04-06T00:18:49Z,We Don't Talk About Bruno,Carolina Gaitán,Encanto
2022-04-06T01:51:36Z,this is what falling in love feels like,JVKE,this is what falling in love feels like
2022-04-06T01:55:20Z,MUFFIN,BadBoyHalo,MUFFIN
2022-04-06T01:57:44Z,Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)"
2022-04-06T02:00:39Z,Love Grows (Where My Rosemary Goes),Edison Lighthouse,Love Grows (Where My Rosemary Goes) & Other Gems
2022-04-06T02:04:13Z,loving you is so easy,HONNE,no song without you
2022-04-06T02:06:31Z,Fictional Men,PEGGY,Fictional Men
2022-04-06T02:09:26Z,Daydreaming,Marc Wavy,Daydreaming
2022-04-06T02:13:52Z,小幸運,Hebe Tien,小幸運
2022-04-06T02:16:01Z,Backyard Boy,Claire Rosinkranz,Backyard Boy
2022-04-06T02:19:08Z,Talk Too Much,COIN,How Will You Know If You Never Try
2022-04-06T02:22:37Z,Kiss Me More (feat. SZA),Doja Cat,Kiss Me More (feat. SZA)
2022-04-06T02:26:28Z,Pretty Face,PUBLIC,Let's Remake It
2022-04-06T02:29:25Z,Wishing We Were More Than Friends,push baby,"Wow, Big Legend"
2022-04-06T02:32:33Z,Sofia,Clairo,Immunity
2022-04-06T02:35:47Z,as long as you care,Ruel,as long as you care
2022-04-07T22:12:42Z,Crash My Car,COIN,Dreamland
2022-04-07T22:12:42Z,What Else Can I Do?,Diane Guerrero,Encanto
2022-04-07T22:16:29Z,Crash My Car,COIN,Dreamland
2022-04-07T22:19:28Z,parking lot view,almost monday,parking lot view
2022-04-07T22:21:25Z,loving you is so easy,HONNE,no song without you
2022-04-07T22:25:31Z,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,Red (Taylor's Version)
2022-04-07T22:28:02Z,Ain't No Mountain High Enough,Marvin Gaye,United
2022-04-07T22:31:33Z,Mariposa,Peach Tree Rascals,Mariposa
2022-04-07T22:35:22Z,Fireflies,Owl City,Ocean Eyes
2022-04-07T22:39:59Z,Some Nights,fun.,Some Nights
2022-04-07T22:43:41Z,Electric Love,BØRNS,Dopamine
2022-04-07T22:47:26Z,MUFFIN,BadBoyHalo,MUFFIN
2022-04-07T22:51:36Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-07T22:54:54Z,Sorry for Me,Ricky Montgomery,Sorry for Me
2022-04-07T22:58:07Z,Nine in the Afternoon,Panic! At The Disco,Pretty. Odd.
2022-04-07T23:12:37Z,June Blues,Eric Reprid,June Blues
2022-04-08T00:14:34Z,Dynamite,Taio Cruz,Rokstarr
2022-04-08T05:22:35Z,Dynamite,Taio Cruz,Rokstarr
2022-04-08T05:25:07Z,Ain't No Mountain High Enough,Marvin Gaye,United
2022-04-08T05:27:34Z,Cloud 9,Beach Bunny,Honeymoon
2022-04-08T05:31:07Z,Take It Easy,Surfaces,Horizons
2022-04-08T05:33:16Z,YOUTH,Troye Sivan,Blue Neighbourhood
2022-04-08T05:37:20Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T05:41:24Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T05:45:29Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T05:49:33Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T05:53:37Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T05:57:41Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T06:01:45Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T06:05:50Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T06:09:54Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T06:13:58Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T17:13:26Z,Habang Buhay,Zack Tabudlo,Episode
2022-04-08T17:15:42Z,Sunkissed,khai dreams,Now and Then
2022-04-08T17:18:57Z,Notion,The Rare Occasions,Notion
2022-04-08T17:21:55Z,Your Soul,Forrest.,Warm
2022-04-08T17:29:23Z,Just Friends,Virginia To Vegas,Just Friends
2022-04-08T18:32:27Z,It Was A Good Day,Ice Cube,The Predator
2022-04-08T21:58:35Z,Just Friends,Virginia To Vegas,Just Friends
2022-04-08T21:58:48Z,Breakfast Questions,Germaine Franco,Encanto
2022-04-08T21:58:49Z,Summer Is for Falling in Love,Sarah Kang,Summer Is for Falling in Love
2022-04-08T21:58:53Z,Mirabel's Cumbia,Germaine Franco,Encanto
2022-04-08T21:58:56Z,this is what falling in love feels like,JVKE,this is what falling in love feels like
2022-04-08T22:03:13Z,The Family Madrigal,Stephanie Beatriz,Encanto
2022-04-08T22:05:55Z,Waiting On A Miracle,Stephanie Beatriz,Encanto
2022-04-08T22:09:18Z,Surface Pressure,Jessica Darrow,Encanto
2022-04-08T22:12:54Z,We Don't Talk About Bruno,Carolina Gaitán,Encanto
2022-04-08T22:15:53Z,What Else Can I Do?,Diane Guerrero,Encanto
2022-04-08T22:19:29Z,Dos Oruguitas,Sebastian Yatra,Encanto
2022-04-08T22:24:06Z,All Of You,Stephanie Beatriz,Encanto
2022-04-08T22:24:23Z,¡Hola Casita!,Germaine Franco,Encanto
2022-04-08T22:24:26Z,Prayer X,King Gnu,Sympa
2022-04-08T22:29:12Z,Universe,OFFICIAL HIGE DANDISM,Editorial
2022-04-08T22:33:32Z,Hyori Ittai,Romix,Hyori Ittai
2022-04-08T22:37:47Z,僕の声,Rhythmic Toy World,僕の声
2022-04-08T22:42:09Z,ココロのちず,BOYSTYLE,ココロのちず
2022-04-08T22:46:07Z,紅蓮華,LiSA,LEO-NiNE
2022-04-08T22:50:07Z,あの夢をなぞって,YOASOBI,THE BOOK
2022-04-08T22:54:50Z,I Love...,OFFICIAL HIGE DANDISM,Editorial
2022-04-08T22:58:36Z,HADASHi NO STEP,LiSA,HADASHi NO STEP
2022-04-08T23:02:22Z,You Only Live Once,YURI!!! on ICE,You Only Live Once
2022-04-08T23:04:27Z,La Parfum de Fleurs,松司馬拓指揮 Ensemble FOVE,Oh! スケトラ!!! ユーリ!!! on ICE/オリジナル・スケートソングCOLLECTION
2022-04-08T23:04:55Z,ひこうき雲,Orita Nobotta,SUPER SOUND COLLECTION スタジオジブリ吹奏楽
2022-04-08T23:05:09Z,"Shall We Skate? - 映画 ""王様とスケーター""より",Taku Matsushiba,Oh! スケトラ!!! ユーリ!!! on ICE/オリジナル・スケートソングCOLLECTION
2022-04-08T23:05:41Z,Sincerely,TRUE,Lonely Queen's Liberation Party
2022-04-08T23:05:46Z,アンサー,BUMP OF CHICKEN,aurora arc
2022-04-08T23:05:49Z,群青,YOASOBI,THE BOOK
2022-04-08T23:05:50Z,This game,Konomi Suzuki,LIFE of DASH
2022-04-08T23:09:58Z,群青,YOASOBI,THE BOOK
2022-04-10T23:49:18Z,This game,Konomi Suzuki,LIFE of DASH
2022-04-11T22:01:39Z,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology
2022-04-11T22:01:45Z,Marlboro Nights,Lonely God,Marlboro Nights
2022-04-11T22:01:52Z,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology
2022-04-11T22:05:50Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-11T22:09:48Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-11T22:13:45Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-11T22:16:45Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-11T22:17:01Z,Just The Two of Us,Kauai45,Just The Two of Us
2022-04-11T22:21:11Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-11T22:25:20Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-11T22:29:30Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-11T22:33:40Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-11T22:33:45Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-11T22:37:20Z,Out of Time,The Weeknd,Dawn FM
2022-04-11T22:46:09Z,Out of Time,The Weeknd,Dawn FM
2022-04-11T23:05:56Z,Sunkissed,khai dreams,Now and Then
2022-04-11T23:09:01Z,Cherry Cola,Kuwada,Cherry Cola
2022-04-11T23:11:46Z,Magic In The Hamptons (feat. Lil Yachty),Social House,Magic In The Hamptons (feat. Lil Yachty)
2022-04-11T23:15:40Z,Dandelions,Ruth B.,Safe Haven
2022-04-11T23:16:48Z,Marlboro Nights,Lonely God,Marlboro Nights
2022-04-11T23:20:11Z,No Business,Kuwada,No Business
2022-04-11T23:23:17Z,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road
2022-04-11T23:26:10Z,Hooked On A Feeling,Blue Swede,Hooked On A Feeling
2022-04-11T23:29:25Z,Notion,The Rare Occasions,Notion
2022-04-11T23:32:15Z,Palm Springs (the way you made me feel),Virginia To Vegas,Palm Springs (the way you made me feel)
2022-04-11T23:34:54Z,Sunday Best,Surfaces,Where the Light Is
2022-04-11T23:37:43Z,Just Friends,Virginia To Vegas,Just Friends
2022-04-11T23:41:08Z,Darlin',tobi lou,Darlin'
2022-04-11T23:44:47Z,Electric Love,BØRNS,Dopamine
2022-04-11T23:47:21Z,Sunkissed,khai dreams,Now and Then
2022-04-11T23:50:48Z,Vinyl,love-sadKID,Vinyl
2022-04-11T23:53:58Z,Immortals,Fall Out Boy,American Beauty/American Psycho
2022-04-11T23:57:21Z,Come True,khai dreams,Come True
2022-04-12T00:00:39Z,Little Things (with Quinn XCII & Chelsea Cutler),Louis The Child,Little Things (with Quinn XCII & Chelsea Cutler)
2022-04-12T00:03:40Z,Replay (feat. Flo Rida),Iyaz,Replay
2022-04-12T00:07:31Z,You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor’s Version): The I Remember What You Said Last Night Chapter
2022-04-12T02:04:44Z,My Heart Is Buried in Venice,Ricky Montgomery,Montgomery Ricky
2022-04-12T02:06:44Z,this is what falling in love feels like,JVKE,this is what falling in love feels like
2022-04-12T02:10:11Z,That's What I Like,Bruno Mars,24K Magic
2022-04-12T02:13:00Z,Just Friends,Virginia To Vegas,Just Friends
2022-04-12T02:16:05Z,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road
2022-04-12T02:19:44Z,Electric Love,BØRNS,Dopamine
2022-04-12T02:22:29Z,Butter,BTS,"Butter (Hotter, Sweeter, Cooler)"
2022-04-12T02:25:14Z,Magic In The Hamptons (feat. Lil Yachty),Social House,Magic In The Hamptons (feat. Lil Yachty)
2022-04-12T02:29:23Z,Line Without a Hook,Ricky Montgomery,Montgomery Ricky
2022-04-12T02:32:43Z,Dynamite,BTS,BE
2022-04-12T02:36:32Z,Centuries,Fall Out Boy,American Beauty/American Psycho
2022-04-12T02:40:02Z,Like You Love Me,Tauren Wells,Citizen of Heaven
2022-04-12T02:43:32Z,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II
2022-04-12T02:44:06Z,"Lavender Town, Pt. 1 (feat. DJ Pharris)",tobi lou,tobi lou and the Juice
2022-04-12T02:44:09Z,I'm Sorry,Peach Tree Rascals,I'm Sorry
2022-04-12T02:47:07Z,Everybody Talks,Neon Trees,Picture Show
2022-04-12T02:49:00Z,Through and Through,khai dreams,Through and Through
2022-04-14T01:58:26Z,Some Nights,fun.,Some Nights
2022-04-14T01:58:26Z,My Heart Is Buried in Venice,Ricky Montgomery,Montgomery Ricky
2022-04-14T02:02:12Z,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version)
2022-04-14T02:04:50Z,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding
2022-04-14T02:08:47Z,Love Me Harder,Ariana Grande,My Everything - Deluxe
2022-04-14T02:12:07Z,It's a Beautiful Day,Michael Bublé,To Be Loved
2022-04-14T02:15:45Z,bad idea,Ariana Grande,"thank u, next"
2022-04-14T02:15:48Z,Happier,Ed Sheeran,÷
2022-04-14T02:15:51Z,Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans
2022-04-14T02:15:52Z,Scars To Your Beautiful,Alessia Cara,Know-It-All
2022-04-14T02:20:10Z,Counting Stars,OneRepublic,Native
2022-04-14T02:23:34Z,Youngblood,5 Seconds of Summer,Youngblood - Deluxe
2022-04-14T02:26:33Z,7 rings,Ariana Grande,"thank u, next"
2022-04-14T02:29:21Z,"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)"
2022-04-14T02:33:34Z,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium
2022-04-14T15:47:55Z,Shut Up and Dance,WALK THE MOON,TALKING IS HARD
2022-04-14T15:52:37Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T15:54:37Z,this is what falling in love feels like,JVKE,this is what falling in love feels like
2022-04-14T15:55:46Z,Marlboro Nights,Lonely God,Marlboro Nights
2022-04-14T15:55:59Z,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",Anthology
2022-04-14T15:56:00Z,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans
2022-04-14T15:59:59Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:03:56Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:07:54Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:11:52Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:15:49Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:19:47Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:23:45Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:27:43Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T16:31:42Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:28:42Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:28:47Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:32:44Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:36:42Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:40:40Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:44:38Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:48:36Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:52:35Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T18:56:32Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:00:30Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:04:27Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:08:25Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:12:23Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:16:21Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:20:21Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:34:46Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:38:43Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:42:41Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:47:22Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
2022-04-14T19:51:20Z,Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.",Lean on Me: The Best of Bill Withers
