Track Name,Album Name,Artist Name(s),Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age,Play Count
Again,Penthouse,Wun Two,2025-03-21T00:00:28Z,"lo-fi beats,lo-fi",143132,48,0.762,6,-11.863,0.198,0.949,0.87,0.114,0.652,82.78,4,10.269678302532512,8
Eternal Youth,Eternal Youth,RŮDE,2025-03-21T00:00:28Z,lo-fi,205766,62,0.655,6,-7.988,0.033,0.0347,0.897,0.271,0.0454,139.914,4,7.6358658453114305,5
Alright,To Pimp A Butterfly,Kendrick Lamar,2025-03-21T00:00:28Z,"hip hop,west coast hip hop",219333,83,0.796,7,-5.974,0.238,0.0742,0,0.0827,0.558,110.034,4,10.03148528405202,4
"Don't Shoot (feat. Rick Ross, Fabolous, Diddy, 2 Chainz, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh, TGT)","Don't Shoot (feat. Rick Ross, 2 Chainz, Diddy, Fabolous, Wale, DJ Khaled, Swizz Beatz, Yo Gotti, Currensy, Problem, King Pharaoh & TGT) - Single","The Game,Rick Ross,Fabolous,Diddy,2 Chainz,Wale,DJ Khaled,Swizz Beatz,Yo Gotti,Curren$y,JasonMartin,King Pharaoh,TGT",2025-03-21T00:00:28Z,"west coast hip hop,gangster rap,hip hop,southern hip hop,east coast hip hop,rap,memphis rap,hyphy",367151,28,0.699,1,-9.911,0.218,0.0756,0,0.61,0.24,81.095,4,10.581793292265573,1
Mad (feat. Lil Wayne),A Seat at the Table,"Solange,Lil Wayne",2025-03-21T00:00:28Z,"alternative r&b,neo soul,rap,hip hop",235493,53,0.827,0,-5.025,0.254,0.101,4.15e-05,0.0908,0.599,119.807,4,8.487337440109513,2
Time's A Wastin,Mama's Gun,Erykah Badu,2025-03-21T00:00:28Z,"neo soul,r&b",400840,50,0.677,11,-10.684,0.0671,0.201,0.00143,0.201,0.456,75.36,4,24.40246406570842,1
Police Get Away Wit Murder,Still Brazy (Deluxe),YG,2025-03-21T00:00:28Z,hyphy,199840,28,0.692,10,-5.348,0.262,0.0329,0,0.14,0.407,88.011,4,8.774811772758385,1
Inner City Blues (Make Me Wanna Holler),What's Going On,Marvin Gaye,2025-03-21T00:00:28Z,"motown,soul,northern soul,quiet storm",327706,61,0.63,1,-13.667,0.0322,0.792,0.132,0.133,0.645,94.08,4,53.85078713,1
Freedom (feat. Kendrick Lamar),Lemonade,"Beyoncé,Kendrick Lamar",2025-03-21T00:00:28Z,"hip hop,west coast hip hop",289760,62,0.437,2,-6.412,0.305,0.0376,0,0.683,0.406,84.378,4,8.925393566,2
Guarding The Gates - From Queen & Slim: The Soundtrack,Guarding The Gates (From Queen & Slim: The Soundtrack),Ms. Lauryn Hill,2025-03-21T00:00:28Z,neo soul,360312,40,0.322,11,-6.393,0.117,0.127,0,0.361,0.317,148.604,4,5.363449691991787,1
The Room Where It Happens,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",2025-03-21T00:00:28Z,musicals,318214,69,0.638,4,-9.382,0.426,0.271,0,0.664,0.511,173.552,4,9.503080082135524,16
Washington on Your Side,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",2025-03-21T00:00:28Z,musicals,181477,64,0.884,10,-10.216,0.348,0.165,0,0.0756,0.425,134.051,4,9.503080082135524,14
We Know,Hamilton (Original Broadway Cast Recording),"Lin-Manuel Miranda,Daveed Diggs,Leslie Odom Jr.,Okieriete Onaodowan",2025-03-21T00:00:28Z,musicals,142044,64,0.718,11,-10.376,0.523,0.312,0,0.127,0.692,113.855,4,9.503080082135524,10
No More Words (Jeff Hardy),"WWE: The Music, Vol. 8","Various Artists,Endeverafter",2025-03-21T00:00:28Z,champeta,263333,54,0.542,10,-16.353,0.0342,1.1e-05,0.0005,0.104,0.882,137.985,4,17.00752908966461,2
Wait for It,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Original Broadway Cast of Hamilton",2025-03-21T00:00:28Z,musicals,193749,72,0.543,6,-9.638,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,9.503080082135524,18
One Last Time,Hamilton (Original Broadway Cast Recording),"Christopher Jackson,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",2025-03-21T00:00:28Z,musicals,296387,63,0.449,8,-9.624,0.356,0.631,0,0.0805,0.41,176.989,4,9.503080082135524,39
Wait for It,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Original Broadway Cast of Hamilton",2025-03-21T00:00:28Z,musicals,193749,72,0.543,6,-9.638,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,9.503080082135524,2
Something In The Water,Collin EP,"Daveed Diggs,Emmy Raver – Lampman",2025-03-21T00:00:28Z,musicals,237933,23,0.436,7,-5.211,0.399,0.0433,0,0.349,0.384,79.176,3,6.704996577686516,1
Sakura Kiss (From Ouran High School Host Club),Nostalgia II,AmaLee,2025-03-21T00:00:28Z,anime,89638,36,0.478,2,-3.744,0.149,0.00627,1.31e-05,0.155,0.506,166.016,4,7.471594798083505,1
Ex-Wives,Six: The Musical (Studio Cast Recording),SIX,2025-03-21T00:00:28Z,musicals,350218,63,0.703,0,-9.601,0.0862,0.0499,0,0.338,0.367,136.647,4,6.570841889117043,2
"Left Brain, Right Brain",What.,Bo Burnham,2025-03-21T00:00:28Z,comedy,394392,46,0.462,4,-6.011,0.621,0.639,0,0.655,0.548,169.408,4,11.274469541409994,2
See You Again,The Living Room Sessions Vol. 2,Kina Grannis,2025-03-21T00:00:28Z,acoustic pop,177628,26,0.588,10,-10.189,0.0615,0.906,0,0.249,0.219,143.668,4,8.755646817,1
I'll Keep You Safe,I'll Keep You Safe,"sagun,Shiloh Dynasty",2025-03-21T00:00:28Z,lo-fi,185875,65,0.752,7,-24.694,0.0557,0.945,0.819,0.178,0.462,114.982,4,7.471594798083505,6
Flowers,Vibes 3,The Deli,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",187828,49,0.838,7,-10.006,0.134,0.0849,0.981,0.26,0.218,79.987,4,9.081451061,38
[oops],[oops],potsu,2025-03-21T00:00:28Z,lo-fi,142182,57,0.851,0,-13.558,0.0788,0.53,0.217,0.138,0.635,68.988,4,7.860369609856263,21
With U,With U,"SwuM,Idealism",2025-03-21T00:00:28Z,"lo-fi,lo-fi beats,j-dance",218666,48,0.469,1,-11.858,0.0341,0.863,0.809,0.0923,0.185,90.062,4,6.094455852156058,2
Silience,Silience,Toonorth,2025-03-21T00:00:28Z,"lo-fi beats,lo-fi,jazz beats",196923,38,0.636,6,-10.455,0.0563,0.0295,0.779,0.119,0.672,77.938,4,6.524298425735798,5
when the leaves come falling down,her,j'san,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",121904,40,0.656,9,-15.809,0.0481,0.902,0.472,0.123,0.27,125.992,4,6.992470910335387,6
Faces,Faces,Knowmadic,2025-03-21T00:00:28Z,"lo-fi beats,lo-fi",133165,38,0.615,11,-12.324,0.115,0.968,0.807,0.106,0.177,159.031,4,6.217659137577002,5
Proud of You,"Growing Up, Vol. 2","A L E X,Alicks",2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",182869,43,0.82,8,-15.194,0.0802,0.869,0.961,0.0925,0.62,104.988,4,6.7734428473648185,6
Love Is Real,Sincere,Moods,2025-03-21T00:00:28Z,lo-fi beats,202213,47,0.761,9,-8.078,0.142,0.0533,0.102,0.0887,0.61,93.99,4,10.127310061601642,4
sand castles,corals 2,Fujitsu,2025-03-21T00:00:28Z,"lo-fi beats,lo-fi",147692,37,0.784,4,-14.648,0.0513,0.577,0.851,0.128,0.63,129.94,4,6.513347022587269,4
5:32pm,Vibes 2,The Deli,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",136914,59,0.686,1,-14.133,0.049,0.652,0.934,0.0772,0.647,86.393,4,8.440793977,8
Her,Her,eery,2025-03-21T00:00:28Z,"lo-fi,j-dance",123219,49,0.665,11,-11.567,0.103,0.813,0.0414,0.185,0.499,82.067,4,9.234770704996578,15
sorry,late nights,chief.,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",77922,40,0.548,10,-12.869,0.12,0.752,0.893,0.314,0.546,127.159,4,7.299110198494182,7
"sincerely, yours",osho,Nohidea,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats,j-dance",139684,48,0.605,5,-11.301,0.0509,0.8,0.872,0.141,0.622,80.957,4,8.139630390143736,11
Affection,Life,Jinsang,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",117495,55,0.698,1,-15.01,0.0902,0.915,0.937,0.0882,0.608,84.028,4,8.257357973990418,18
Flunked This Semester,Waterbed,HM Surf,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",99310,34,0.559,8,-11.289,0.0367,0.486,0.905,0.111,0.271,174.063,4,6.981519507186858,4
Tell Me Why I'm Waiting,Passion & Confusion,"timmies,Shiloh Dynasty",2025-03-21T00:00:28Z,lo-fi,123891,61,0.671,6,-11.185,0.056,0.796,0.000339,0.0657,0.159,124.007,4,7.512662559890486,7
