Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
00ncI3fW2eMYXZdA27fUMY,"FREEDOM","BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST","BLUE ENCOUNT",2019-07-17,239893,43,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.484,0.94,7,-4.013,1,0.069,0.000262,0,0.285,0.241,102.034,4
2BlDX1yfT0ea5wo0vjCKKa,"光るなら","Milk","Goose house",2015-02-25,252133,67,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop","Sony Music Labels Inc.",0.491,0.879,6,-2.722,0,0.0652,0.391,0,0.342,0.571,160.092,4
0r2PAeROizyyoFMpu0fvwI,"Prayer X","Sympa","King Gnu",2019-01-16,195226,57,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.528,0.752,11,-6.006,1,0.28,0.419,0,0.181,0.542,174.112,4
7v8wKvNQQIxkugCFFjrkaO,"残響散歌","残響散歌","Aimer",2021-12-06,184893,67,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.367,0.896,11,-4.002,1,0.091,0.000627,0,0.207,0.38,170.863,4
7ys7frtlceqvYA8mEhKkkv,"Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War)","Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War)","Akano,Jonatan King",2019-07-30,95140,23,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime","Akano",0.755,0.886,11,-6.384,0,0.244,0.193,0.00000168,0.118,0.32,178.002,4
6dSEtLD9DHTaiygliV3kiO,"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Miura Jam",2020-08-26,225343,32,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime","Miura Jam",0.622,0.864,2,-6.196,1,0.0399,0.00275,0.00036,0.301,0.796,139.954,4
3IDF7N86lrcWaJEt9C1gbS,"Cry Baby","Cry Baby","OFFICIAL HIGE DANDISM",2021-05-07,240284,59,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"j-pop,anime,j-rock","IRORI Records",0.318,0.902,1,-4.605,1,0.131,0.0116,0,0.393,0.437,199.844,4
7kRKlFCFLAUwt43HWtauhX,"LOST IN PARADISE","LOST IN PARADISE","ALI,AKLO",2020-10-10,327966,65,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,j-rap,j-r&b","Sony Music Labels Inc.",0.648,0.904,6,-4.565,0,0.0786,0.0961,0.00000207,0.0629,0.728,121.994,4
3JTQgVfYgBwzuvrF1uBYwW,"キミの隣","Assortrip","halca",2018,279133,39,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop","Sony Music Labels Inc.",0.596,0.854,5,-3.011,1,0.0365,0.0135,0.00000144,0.337,0.58,134.971,4
4xeWELPxBZKhhCrUr84jmp,"DADDY ! DADDY ! DO !","ALL TIME ROCK 'N' ROLL","Masayuki Suzuki,鈴木愛理",2020-04-15,254640,62,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,kayokyoku,city pop","Sony Music Labels Inc.",0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.104,4
7qOsSOpiL3R8RKyiBtIYNQ,"SOUVENIR","SOUVENIR","BUMP OF CHICKEN",2022-09-29,264126,59,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"j-pop,j-rock,anime","Toy's Factory",0.622,0.94,2,-4.997,1,0.0413,0.0094,0.00000648,0.0957,0.96,158.056,4
3kUWZiVYJ4YQOl0u7Y1Og8,"カワキヲアメク","カワキヲアメク","美波",2019-01-30,251933,69,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,j-rock","Water Reflection, Inc.",0.546,0.808,6,-4.52,0,0.0536,0.0148,0.00014,0.185,0.511,129.165,4
6y4GYuZszeXNOXuBFsJlos,"Kaikai Kitan","Kaikai Kitan / Ao No Waltz","Eve",2020-12-23,221426,72,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,j-rock,vocaloid,japanese indie","TOY'S FACTORY",0.584,0.911,5,-3.515,0,0.09,0.0119,0,0.119,0.606,92.502,4
5RmtuRIe8FJg9FRegwCqzW,"EVERBLUE","EVERBLUE","Omoinotake",2021-10-01,241866,46,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"j-pop,city pop,anime,japanese indie","Sony Music Labels Inc.",0.597,0.895,8,-4.225,0,0.173,0.0463,0,0.299,0.498,134.985,4
6qWEpnyU43Bcrx3vfbGuVm,"Touch You","アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」","遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",2018-08-15,206180,62,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime","TOHO animation RECORDS",0.603,0.964,8,-2.886,0,0.0487,0.00655,0.00000304,0.143,0.796,135.028,4
7AhMVnj6N89jmuCKNyr0AZ,"ラブ・ドラマティック","ラブ・ドラマティック","Masayuki Suzuki,伊原六花",2019-02-27,263613,54,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-pop,kayokyoku,city pop","Sony Music Labels Inc.",0.71,0.798,9,-5.309,1,0.0343,0.364,0,0.354,0.789,129.039,4
7jEwBMtA7gM43NxiuvfF3h,"君のせい","Hell like Heaven","the peggies",2019-02-06,263066,56,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T21:22:13Z,"anime,j-rock,j-pop,japanese indie","Sony Music Labels Inc.",0.39,0.986,4,-1.51,1,0.0812,0.00079,0.00704,0.304,0.557,173.998,4
